Sentence,Sentiment,Processed_Sentence,Original_Length,Processed_Length,Length_Reduction
"Mr Ashley , deputy executive chairman of Sports Direct , sold a 43pc stake in the company for more than pounds 900m at the time of the float .",neutral,"mr ashley , deputy executive chairman sports direct , sold 43pc stake company pounds 900m time float .",142,102,0.28169014084507044
"The decision of the French Court relates to the claims raised by twenty-one former Aspocomp S.A.S employees , the company said .",neutral,"decision french court relates claims raised twenty-one former aspocomp s.a.s employees , company said .",128,103,0.1953125
"With this acquisition the wireless modem unit and its approximately 1,100 employees were transferred to Renesas Electronics Corporation .",neutral,"acquisition wireless modem unit approximately 1,100 employees transferred renesas electronics corporation .",137,107,0.21897810218978103
"The company also appointed Leif Rosen head of the Special Plate unit which includes the quarto plate units in Degerfors , Sweden , and New Castle , USA , the unit in Willich , Germany , as well as Pressplate and Prefab in Avesta and Plate Service Centre Nordic in Degerfors .",neutral,"company also appointed leif rosen head special plate unit includes quarto plate units degerfors , sweden , new castle , usa , unit willich , germany , well pressplate prefab avesta plate service centre nordic degerfors .",275,220,0.2
"Micron Technology Inc #NASDAQ: $MU down 2.3% today and down 8.9% since being put on ""The Short"" https://t.co/EQQLTfUiOU",negative,"micron technology inc HASHTAG : $mu NEGATIVE_MOVE 2.3% NEGATIVE_MOVE 8.9% since SELL_SIGNAL ""the SELL_SIGNAL""",119,109,0.08403361344537816
"Savon koulutuskuntayhtyma , Finland based company has awarded contract for specialist agricultural or forestry machinery .",positive,"savon koulutuskuntayhtyma , finland based company awarded contract specialist agricultural forestry machinery .",122,111,0.09016393442622951
The tower 's engineers have created an 18 degree westward lean - four times the inclination on the Leaning Tower of Pisa - using diagrid structures that are aligned geometrically using Tekla Structures BIM ( Building Information Modeling ) software .,neutral,tower 's engineers created 18 degree westward lean - four times inclination leaning tower pisa - using diagrid structures aligned geometrically using tekla structures bim ( building information modeling ) software .,250,215,0.14
"The most significant capital expenditure items were in the global enterprise resource planning ERP project , product development and production machines .",neutral,"significant capital expenditure items global enterprise resource planning erp project , product development production machines .",154,129,0.16233766233766234
Oriola-KD is a spin-off of Finnish pharmaceutical group Orion Oyj 's wholesale division .,neutral,oriola-kd spin-off finnish pharmaceutical group orion oyj 's wholesale division .,89,81,0.0898876404494382
Nokia is also negotiating the product portfolio of the new company .,neutral,nokia also negotiating product portfolio new company .,68,54,0.20588235294117646
$GOOG breakout very likely medium target $700+ http://stks.co/1Lpz http://chart.ly/lgb94rr,positive,$goog breakout likely medium target $700+,90,41,0.5444444444444444
The value of the order is EUR 2.5 mn .,neutral,value order eur 2.5 mn .,38,24,0.3684210526315789
Operating profit rose to EUR2 .4 m from EUR1 .6 m year earlier .,positive,operating profit rose eur2 .4 eur1 .6 year earlier .,64,52,0.1875
The full MidnightTrader extended-hours trading analysis and news service is available in real-time through COMTEX .,neutral,full midnighttrader extended-hours analysis news service available real-time comtex .,115,85,0.2608695652173913
"In a letter to Economic Affairs Minister , the listed Estonian shipping company Tallink asks for the approval to be entitled to a 15 % cut in port fees in 2010 .",neutral,"letter economic affairs minister , listed estonian shipping company tallink asks approval entitled 15 % cut port fees 2010 .",161,124,0.22981366459627328
Finnish glass technology company Glaston Oyj Abp net profit decreased to 2.6 mln euro ( $ 3.8 mln ) for the first nine months of 2007 from 7.8 mln euro ( $ 11.4 mln ) for the same period of 2006 .,neutral,finnish glass technology company glaston oyj abp net profit decreased 2.6 mln euro ( $ 3.8 mln ) first nine months 2007 7.8 mln euro ( $ 11.4 mln ) period 2006 .,196,161,0.17857142857142858
"CEOs of BPM, UBI meet Italy econ minister as M&A talk heats up",positive,"ceos bpm, ubi meet italy econ minister m&a talk heats POSITIVE_MOVE",62,67,-0.08064516129032258
Glaston 's net profit for the third quarter of 2007 dropped to 2.4 mln euro ( $ 3.5 mln ) from 3.5 mln euro ( $ 5.1 mln ) for the corresponding period of 2006 .,negative,glaston 's net profit third quarter 2007 dropped 2.4 mln euro ( $ 3.5 mln ) 3.5 mln euro ( $ 5.1 mln ) corresponding period 2006 .,160,130,0.1875
"`` We cut our frequency to New York last year , which explains the fall , '' he said .",negative,"`` cut frequency new york last year , explains NEGATIVE_MOVE , '' said .",86,72,0.16279069767441862
"When the situation normalises , the company will be able to increase the amount of residential units for sale in St Petersburg and Moscow , in particular .",positive,"situation normalises , company able increase amount residential units sale st petersburg moscow , particular .",155,110,0.2903225806451613
"$SBUX down PM, from $DB downgrade.. PT cut from 70 to $64",negative,"$sbux NEGATIVE_MOVE pm, $db downgrade.. pt cut 70 $64",57,53,0.07017543859649122
The first quarter was as expected and was in line with analysts ' forecasts .,neutral,first quarter expected line analysts ' forecasts .,77,50,0.35064935064935066
UPDATE 1-Berkshire applies to boost Wells Fargo stake above 10 pct,positive,update 1-berkshire applies boost wells fargo stake 10 pct,66,57,0.13636363636363635
"Both operating profit and net sales for the nine-month period increased , respectively by 26.6 % and 3.4 % , as compared to the corresponding period in 2006 .",positive,"operating profit net sales nine-month period increased , respectively 26.6 % 3.4 % , compared corresponding period 2006 .",158,121,0.23417721518987342
The deal means that ten persons in three countries will transfer to Tieto .,neutral,deal means ten persons three countries transfer tieto .,75,55,0.26666666666666666
LONDON AFX - Fortum said it has agreed to sell its industrial maintenance service operations to funds managed by CapMan for an undisclosed sum .,neutral,london afx - fortum said agreed SELL_SIGNAL industrial maintenance service operations funds managed capman undisclosed sum .,144,124,0.1388888888888889
Grapevine city officials in September approved $ 35 million in tax rebates and grants for the expansion .,positive,grapevine city officials september approved $ 35 million tax rebates grants expansion .,105,87,0.17142857142857143
"`` Tom Doring has a long and successful career in the drives business , and he knows the American market .",neutral,"`` tom doring BUY_SIGNAL successful career drives business , knows american .",106,77,0.27358490566037735
"It expects revenue between $ 8.4 billion and $ 8.7 billion , compared to analyst estimates of $ 8.67 billion .",neutral,"expects revenue $ 8.4 billion $ 8.7 billion , compared analyst estimates $ 8.67 billion .",110,89,0.19090909090909092
"Tieto 's service is also used to send , process and receive materials related to absentee voting .",neutral,"tieto 's service also used send , process receive materials related absentee voting .",98,85,0.1326530612244898
"Financial , strategic and operational factors are considered .",neutral,"financial , strategic operational factors considered .",62,54,0.12903225806451613
"ALEXANDRIA , Va. , May 23 -- Matti Harkonen and Pentti Sipponen , both of Espoo , Finland , Osmo Suovaniemi of Helsinki , Finland , and Tapani Tiusanen of Vantaa , Finland , have developed a paper web press device .",neutral,"alexandria , va. , may 23 -- matti harkonen pentti sipponen , espoo , finland , osmo suovaniemi helsinki , finland , tapani tiusanen vantaa , finland , developed paper web press device .",215,186,0.13488372093023257
$CAT is hangin on my a thread. 1click away from a cliff drop.. Needs follow through (or snap-back on the VIX),negative,$cat hangin thread. 1click away cliff NEGATIVE_MOVE.. needs follow (or snap-back vix),109,85,0.22018348623853212
"Philip Morris, BAT Sue Over Law Taking Branding Off Packs",negative,"philip morris, bat sue law taking branding packs",57,48,0.15789473684210525
Operating profit increased to EUR 14.0 mn from EUR 4.9 mn in the corresponding period in 2005 .,positive,operating profit increased eur 14.0 mn eur 4.9 mn corresponding period 2005 .,95,77,0.18947368421052632
$LNT Increases Annual Dividend Target to $1.80/Share from $1.70/Share,positive,$lnt increases annual dividend target $1.80/share $1.70/share,69,61,0.11594202898550725
"Cargotec 's sales totalled EUR 3.4 billion in 2008 and it employs approximately 11,000 people .",neutral,"cargotec 's sales totalled eur 3.4 billion 2008 employs approximately 11,000 people .",95,85,0.10526315789473684
"Prothious Engineering ( www.prothious.com ) employs more than 1,000 and has a large portfolio of projects and an annual detailing capacity of more than 100,000 tonnes .",neutral,"prothious engineering ( ) employs 1,000 large portfolio projects annual detailing capacity 100,000 tonnes .",168,107,0.3630952380952381
The difference can be explained by the fact that two shipping companies have stopped operating in the Gulf of Finland .,neutral,difference explained fact two shipping companies stopped operating gulf finland .,119,81,0.31932773109243695
A new Kveyt light variety of Suomalainen Pekoni marketed under the Atria brand name is now available to consumers in Finland .,positive,new kveyt light variety suomalainen pekoni marketed atria brand name available consumers finland .,126,98,0.2222222222222222
Standard Chartered lags on capital worries,negative,standard chartered lags capital worries,42,39,0.07142857142857142
"The broker started UPM-Kymmene , Stora Enso and Sappi with ` equal-weight ' recommendations and Holmen and Norske Skog with ` underweight ' ratings .",neutral,"broker started upm-kymmene , stora enso sappi ` equal-weight ' recommendations holmen norske skog ` underweight ' ratings .",149,123,0.174496644295302
